"Name","Version","Entry","SizeGB","SizeMB","LastWriteTime"
"setuptools","70.2.0","BRkR5gufLWVzE8AlzbVAz","0.003","3.1","2026/5/20 13:59:03"
"importlib_metadata","9.0.0","BsXl_cIGWkftWE0hipcr3","0.0001","0.1","2026/5/20 14:00:23"
"jieba","0.42.1","BU3TVwGnPb6L7PDtpsoTo","0.0356","36.5","2026/5/6 19:02:47"
"uvicorn","0.35.0","bUc5JIi0m-F6n8EjMGDd_","0.0002","0.2","2026/5/6 19:26:59"
"anyio","4.13.0","buG-vuUgCRAErV8w40w88","0.0004","0.4","2026/4/14 18:27:22"
"more-itertools","10.8.0","BV4d4VrTWeRP1qb3CRwmm","0.0003","0.3","2026/1/30 11:49:39"
"GitPython","3.1.46","BXWme0YyUoqntFjgwLLvF","0.0006","0.7","2026/2/2 19:21:21"
"certifi","2026.5.20","bYXmqP_cP-fjo-4wGk5_N","0.0002","0.2","2026/5/25 10:17:08"
"tzdata","2025.3","bZWQjcRaID3CLgpdDpvld","0.0005","0.6","2026/2/9 16:58:54"
"exceptiongroup","1.3.0","C58o3WhCTvTTMvffn6SPb","0","0","2026/5/6 19:02:49"
"x-transformers","2.11.24","CbrlIeXXjp0fBGFBJYnHa","0.0003","0.3","2026/5/20 14:00:22"
"pydantic","2.11.9","cCksusAaWrRej36Ueq5od","0.0017","1.7","2026/5/6 19:02:47"
"propcache","0.4.1","cEVGIyw_HW4sL168qnsmp","0.0001","0.1","2026/2/26 12:28:03"
"nltk","3.9.3","cfNbp1VoN-U7u-CJ4GI3a","0.0053","5.5","2026/2/26 12:28:06"
"click","8.4.0","CFzACYo6jVZHIsulL-bJf","0.0004","0.4","2026/5/19 20:02:05"
"itsdangerous","2.2.0","cgGeTq42-h7OCQXAL7Z0J","0","0","2026/5/19 20:55:01"
"requests","2.32.5","CHkping8IlK1v6wsO0ufp","0.0002","0.2","2026/5/6 19:02:51"
"descript-audiotools","0.7.2","CHXZ10q5l5wKiExbafjCX","0.0004","0.4","2026/5/6 19:02:48"
"typer-slim","0.24.0","CIgQi964oSRSzpcIFZaO7","0","0","2026/2/26 12:28:04"
"nltk","3.9.1","cInAhG0xeadLTkbGy3jq_","0.0053","5.4","2026/1/30 11:49:43"
"idna","3.11","cInB8jfDQD-lG0sfVi-4-","0.0003","0.3","2026/1/30 12:26:32"
"tensorboard-plugin-wit","1.8.1","ciNV_ManyBGDt79n2oHrh","0.003","3","2026/5/6 19:02:49"
"distro","1.9.0","ckB6tB7ldmP1er1IMvUqj","0.0001","0.1","2026/2/1 14:03:18"
"indextts","2.0.0","cKY5fXBBoYICHjZsjq729","0","0","2026/1/30 11:49:42"
"Jinja2","3.1.6","clOqwq4ynQgiZmx0jcDmc","0.0005","0.5","2026/5/20 13:59:26"
"plotly","6.6.0","COKanILrBepmXmLlJ5oNj","0.0402","41.2","2026/4/2 21:38:25"
"openseespy","3.7.0.3","cPkTG4L1TaATqe4URS8yb","0","0","2026/2/14 12:37:15"
"graphemeu","0.7.2","cPowmEEh1jqh6v4UYpnzp","0.0001","0.1","2026/3/2 19:25:31"
"about-time","4.2.1","CQhL-e7RzllBKBgP30Mp0","0","0","2026/3/2 19:25:31"
"typing_extensions","4.15.0","cub0Aomo30KYgosD694Qb","0.0002","0.2","2026/1/30 11:49:38"
"munch","4.0.0","Cvbi4RXdPA6y1BaqVIU2N","0","0","2026/1/30 11:49:37"
"setuptools","80.10.2","CvGixxcYeOzF07ViFGmeI","0.0034","3.5","2026/1/30 11:49:18"
"charset-normalizer","3.4.3","cvrd6uUBTgJ2qoalIqeDq","0.0003","0.3","2026/1/30 11:49:39"
"typeguard","4.4.4","CxanlzX0Kvux6B2J7DS0C","0.0001","0.1","2026/5/6 19:02:49"
"uvicorn","0.35.0","CxLnJkYhn98V_j5GlDIbi","0.0002","0.2","2026/1/30 11:49:40"
"tenacity","9.1.2","cZ1UMzsUTp29qJpdWD_Cp","0.0001","0.1","2026/2/1 14:03:19"
"transformers","4.25.1","czm24MoCZxGTsZzKRIpVx","0.0243","24.9","2026/2/26 13:17:56"
"msgpack","1.1.1","d-ZDteUiSN8CdEtLSHivd","0.0002","0.2","2026/3/2 19:25:31"
"Distance","0.1.3","D1ez9_199PPqZVxlptXWQ","0","0","2026/5/6 19:02:48"
"narwhals","2.18.1","d1o5jNusgGRDi3bc9XZLx","0.0018","1.8","2026/4/2 21:38:23"
"audioread","3.1.0","d5wpxvr7xKQYY0O6zV2KV","0.0001","0.1","2026/5/19 20:55:02"
"fonttools","4.61.1","d62g-dc25sn_Le2MGXzci","0.0102","10.4","2026/2/9 16:59:07"
"pypdf","6.7.3","D6nIkltEWQNAxXCaviQ_u","0.0013","1.4","2026/2/26 12:28:04"
"beautifulsoup4","4.14.3","D9kOfWUB8iqxzqo1mdcyB","0.0004","0.4","2026/5/20 14:00:22"
"python-dotenv","1.2.1","Da53YBo0ZsA5oiVZ4F7mx","0.0001","0.1","2026/2/2 19:21:21"
"wcwidth","0.2.13","DCEZ-nDtM67Lv1SneN63k","0.0005","0.5","2026/1/30 11:49:38"
"kiwisolver","1.4.9","dczd5lyFxUNxpRvmMKKxs","0.0002","0.2","2026/5/6 19:02:50"
"colorama","0.4.6","dF_szOy4ff3t76N2G10TB","0.0001","0.1","2026/1/30 11:49:40"
"hf-xet","1.2.0","DH9YZsw0-mWP2m5bV-nNM","0.0065","6.7","2026/2/2 19:21:21"
"jedi","0.19.2","DhgXsAWt05LP6d1AH3gGi","0.0042","4.3","2026/1/30 11:49:43"
"Markdown","3.9","dk-lg1kVBwoHZbIDsfswX","0.0003","0.3","2026/1/30 11:49:41"
"torch","2.6.0+cu124","dk0tokEuPURQqQGUpIQFz","4.3292","4433.1","2026/2/9 18:34:20"
